id;titre;publication;date_debut;date_fin;adherent;description_introduction;description_presentation;description_complementaire;langues;territoires;themes;site_web;site_reservation;site_avis;geo_point_2d;altitude;capacite;moyenspaiement;prestations;multimedia_url_video;multimedia_url_photo;multimedia_url_son;multimedia_url_pdf;multimedia_credits;social_url;classement_categories;classement_labels;classement_guides;classement_chaines;classement_tourisme_et_handicap;classement_etoiles;classement_epis;classement_cles;classement_cheminees;classement_cocottes;type_etab;raison_sociale_etab;adr_etab;code_postal_etab;commune_etab;code_insee_etab;cedex_etab;bureau_distrib_etab;province_etab;pays_etab;personne_civilite_etab;personne_prenom_etab;personne_nom_etab;personne_tel1_etab;personne_tel2_etab;personne_tel3_etab;personne_fax1_etab;personne_fax2_etab;personne_mel1_etab;personne_mel2_etab;personne_mel3_etab;type_info;raison_sociale_info;adr_info;code_postal_info;commune_info;code_insee_info;cedex_info;bureau_distrib_info;province_info;pays_info;personne_civilite_info;personne_prenom_info;personne_nom_info;personne_tel1_info;personne_tel2_info;personne_tel3_info;personne_fax1_info;personne_fax2_info;personne_mel1_info;personne_mel2_info;personne_mel3_info;periode_nom_1;periode_date_debut_1;periode_date_fin_1;periode_detail_1;periode_nom_2;periode_date_debut_2;periode_date_fin_2;periode_detail_2;periode_nom_3;periode_date_debut_3;periode_date_fin_3;periode_detail_3;periode_nom_4;periode_date_debut_4;periode_date_fin_4;periode_detail_4;periode_nom_5;periode_date_debut_5;periode_date_fin_5;periode_detail_5;periode_nom_6;periode_date_debut_6;periode_date_fin_6;periode_detail_6;tarif_nom_1;tarif_standard_1;tarif_devise_1;tarif_min_1;tarif_max_1;tarif_description_1;tarif_nom_2;tarif_standard_2;tarif_devise_2;tarif_min_2;tarif_max_2;tarif_description_2;tarif_nom_3;tarif_standard_3;tarif_devise_3;tarif_min_3;tarif_max_3;tarif_description_3;tarif_nom_4;tarif_standard_4;tarif_devise_4;tarif_min_4;tarif_max_4;tarif_description_4;tarif_nom_5;tarif_standard_5;tarif_devise_5;tarif_min_5;tarif_max_5;tarif_description_5;tarif_nom_6;tarif_standard_6;tarif_devise_6;tarif_min_6;tarif_max_6;tarif_description_6;tarif_devise_7;tarif_devise_8;tarif_devise_9;tarif_devise_10
7c751be8;CHAMBRE D'HOTES LE REPOS DES MOUETTES;;;;;;;;;Calais Côte d'Opale;B&B;http://www.lereposdesmouettes.fr/;;;50.837767, 1.599751;;;;;;;;;;;;Gîtes de France;;;;;3;;;;;Le Repos des Mouettes;Hameau Haringzelle;62179;AUDINGHEN;62054;;;;;M;;Duterte;03 21 32 97 20;;;;;reposdesmouettes@aol.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42667368;CHAMBRE D'HOTES LE CLOS DES SARCELLES;;;;;;;;;Calais Côte d'Opale;B&B;;;;50.8254865, 1.6738278;;;;;;;;;;;;Gîtes de France;;;;;3;;;;;Le Clos des Sarcelles;"63 Chemin du Marais
Le Bail";62250;BAZINGHEN;62089;;;;;Mme;;Darras;03 21 92 88 00;06 67 91 92 28;;;;leclosdessarcelles@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d02e866c;CHAMBRE D'HOTES JARDIN FLORAL;;;;;;;;;Calais Côte d'Opale;B&B;;;;50.8231309, 1.7071043;;;;;;;;;;;;Locations CléVacances;;;;;;1;;;;Jardin Floral;27 Allée des Lilas;62250;MARQUISE;62560;;;;;M;;Montigny;03 21 87 11 81;06 15 36 16 65;;;;philippe-montigny@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96c71034;VILLA BOREAS;;;;;;;;;Calais Côte d'Opale;Chambre d'hôtes;http://villaboreas.unblog.fr/;;;50.8831474, 1.6638416;;;;;;;;;;;;;;;;;;;;;;Villa Boréas;6 Rue Proudhon;62179;WISSANT;62899;;;;;;;;06 14 46 40 00;;;;;villaboreas800@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a17c3c75;CHAMBRE D'HOTES LA RIVIERE;;;;;;;;;Calais Côte d'Opale;B&B;http://www.rivierewissant.com/;;;50.8836093, 1.6690603;;;;;;;;;;;;;;;;;;;;;;La Rivière;10 Chemin du Vivier;62179;WISSANT;62899;;;;;Mme;;Beaugrand;09 66 85 54 50;06 21 74 26 91;;;;lucienne.beaugrand@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
050c738c;GITE A CHACUN SA MAREE;;;;;;;;;Calais Côte d'Opale;Furnished flats and gites;;;;50.8074154, 1.6047374;;4.0;;;;;;;;;;Locations CléVacances;;;;;;3;;;;A Chacun sa Marée;6bis Rue du Laboratoire;62164;AMBLETEUSE;62025;;;;;M;;Franck;03 21 57 96 61;;;;;lfranck1950@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a371ae36;GITE LE NID;;;;;;;;;Calais Côte d'Opale;Furnished flats and gites;http://lenid.simdif.com/;;;50.8099086, 1.6020443;;4.0;;;;;;;;;;;;;;1;;;;;;Le Nid;1 Rue de Roubaix;62164;AMBLETEUSE;62025;;;;;M;;Dulieux;04 94 98 72 42;06 15 12 27 31;;;;charles.dulieux@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79b9e381;GITE DE MME PENEZ;;;;;;;;;Calais Côte d'Opale;Furnished flats and gites;;;;50.8174191, 1.6336095;;5.0;;;;;;;;;;;;;;3;;;;;;Gîte de Mme Penez;30 Résidence Les Courlis;62164;AMBLETEUSE;62025;;;;;Mme;;Penez;03 21 92 99 77;;;;;jeanpierre.penez@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
f4d5d0bd;FERME DE LA HAUTE VALLEE;;;;;;;;;Calais Côte d'Opale;Furnished flats and gites;www.fermedelahautevallee.com;;;50.853263, 1.6886155;;;;;;;;;;;;Gîtes de France;;;;;3;;;;;Ferme de la Haute Vallée;270 rue de la Basse Vallée;62250;AUDEMBERT;62052;;;;;M;;Admont;03 21 33 28 73;06 78 18 42 09;;;;jean-pierre.admont@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b83900b7;GITE LE CADRAN SOLAIRE;;;;;;;;;Calais Côte d'Opale;Furnished flats and gites;;;;50.8590574, 1.6951684;;4.0;;;;;;;;;;Gîtes de France;;;;;2;;;;;Le Cadran Solaire;80 Impasse de la Ronville;62250;AUDEMBERT;62052;;;;;Mme;;Ancette;03 21 87 45 95;06 18 02 66 55;;;;edithancette@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
